,room_id,host_id,total_score
0,66288,324630,149.53
1,414419,2027295,111.474
2,1497879,2776892,110.718
3,31796,119019,103.536
4,815639,3637081,98.622
5,916123,3637081,98.622
6,1136972,1480518,97.232
7,47521,119019,89.55
8,1695275,324630,88.294
9,2776143,324630,84.892
10,197972,965697,84.002
11,766700,3637081,83.502
12,1615033,3637081,82.746
13,22354,85770,81.234
14,1141522,1407005,81.234
15,1472520,6608084,80.222
16,1472481,6608084,79.844
17,708802,3648427,79.844
18,1147871,1407005,78.966
19,1544702,6608084,78.71
20,1178162,1407005,78.21
21,1584362,6608084,77.954
22,451872,2244581,76.576
23,366038,633554,75.56400000000001
24,1178106,1407005,74.808
25,447826,2053557,74.174
26,322593,1651480,72.918
27,77691,119019,72.918
28,798957,1651480,71.15
29,2795342,14299585,70.016
30,891661,4737456,69.138
31,1321422,6608084,68.50399999999999
32,536865,2618808,67.626
33,27546,119019,66.87
34,225224,85770,66.49199999999999
35,57800,68870,65.73599999999999
36,1161210,3887707,63.09
37,1884045,9663343,62.712
38,3992208,324630,62.212
39,3693850,18807469,62.078
40,1881298,1920539,62.078
41,1115394,884747,62.078
42,3012529,2005394,61.956
43,93505,501427,61.956
44,220676,1144302,61.322
45,4314054,22264304,61.2
46,3988018,1480518,60.566
47,1038465,85770,60.444
48,3987926,1480518,60.188
49,3129309,3637081,60.066
50,4359160,324630,59.566
51,2227959,2005394,58.932
52,915272,4608023,58.554
53,1850260,9663343,58.176
54,4090224,17783651,57.92
55,4820071,93916,57.542
56,1071235,965697,57.42
57,2243598,321452,56.542
58,1454258,7799789,56.408
59,4025194,1480518,55.652
60,1994683,3839373,55.53
61,336960,1713739,55.53
62,6337106,22264304,54.018
63,1936861,10021116,53.384
64,4428586,17618315,52.628
65,4568116,11228809,52.25
66,568234,2796082,52.25
67,2698996,13812113,52.25
68,4695542,23953876,51.75
69,625012,3100734,51.494
70,508017,2503703,51.372
71,2875267,14696258,50.738
72,5709298,2006852,50.738
73,163941,8229,49.86
74,177129,847253,49.86
75,36885,159160,49.226
76,72811,378555,49.104
77,2898226,10716287,49.104
78,6676364,13382900,48.47
79,4553903,10850877,48.348
80,497810,2329611,47.97
81,1591827,8491165,47.592
82,3302294,1369968,47.47
83,1327725,7205617,47.214
84,205894,119019,46.836
85,4967219,23953876,46.714
86,23619,93112,46.458
87,1815326,9508341,46.08
88,3442711,17351265,46.08
89,3616081,18190121,45.824
90,3985462,9410008,45.824
91,4765070,24584716,45.702
92,2395326,12230539,45.446
93,60029,255183,45.446
94,474066,2161881,45.324
95,5892953,17744599,45.324
96,200265,847253,44.946
97,1112067,6103425,44.568
98,217498,1123263,44.312
99,1885386,6391436,43.934
100,37864,162705,43.934
101,257588,1355344,43.178
102,1391215,119019,42.678
103,210097,1035747,42.422
104,1821633,7799789,42.422
105,4304969,1723274,42.422
106,5940866,12720679,42.044
107,554720,2727109,41.666
108,581285,2859325,41.666
109,2295530,11725202,41.666
110,2683284,1015632,41.544
111,169430,807320,41.166
112,8982616,22264304,41.166
113,619142,501427,40.910000000000004
114,24232,97805,40.910000000000004
115,6870366,13382900,40.532000000000004
116,2174711,5618949,39.654
117,45987,205107,39.654
118,4105704,21299112,39.398
119,3528826,10493424,39.398
120,6744206,4192732,39.276
121,29765,128280,39.02
122,1171578,3765817,39.02
123,990668,1651480,38.264
124,5882411,18807469,38.264
125,3969526,5408229,38.142
126,2014882,1521296,38.142
127,6742905,324630,37.898
